color,from,l,a,b
艾绿,中国色名综览_凑幸卫,76.5315010259589,-7.7516893122167,-1.7837829931921
艾绿,中国传统色彩图鉴_鸿洋,65.515,-29.182,16.649
艾绿,中国美色_中国国家地理,77.121,-18.246,3.374
艾绿,古色之美_青简,78.486,-5.743,4.578
艾绿,中国颜色_黄仁达,60.662,-2.534,43.458
艾绿,色谱_perchouli,83.487,-5.947,6.866
艾绿,国标,56.5,-28.8,14.8
宝蓝,中国色名综览_凑幸卫,61.6513035635783,-0.306603779992753,-32.3417040098931
宝蓝,钧瓷色彩的特征与分类体系研究_王庆斌,28.5770858860649,11.3681057301025,-29.3665920526181
宝蓝,DIC中国传统色,30.28,30.656,-52.206
宝蓝,乾隆色谱_刘剑,23,1,-17
宝蓝,色谱_perchouli,52.868,-9.681,-34.505
宝蓝,国标,42.6,-18.5,-27.3
碧绿,中国传统色彩图鉴_鸿洋,65.651,-33.628,10.658
碧绿,古色之美_青简,43.206,-34.483,-15.81
碧绿,中国颜色_黄仁达,55.067,-50.224,-3.446
碧绿,国标,66,-41.6,5.5
苍黄,中国色名综览_凑幸卫,54.1557312054077,1.58757825526534,18.2777120876989
苍黄,中国传统色彩图鉴_鸿洋,60.25,0.687,12.098
苍黄,故宫里的色彩美学_郭浩,65.857,-5.03,66.057
苍黄,DIC中国传统色,60.655,15.051,37.607
苍黄,色谱_perchouli,43.864,5.65,31.902
苍绿,中国色名综览_凑幸卫,46.5407126889641,-6.98929492954275,-3.52190917191843
苍绿,中国美色_中国国家地理,37.723,-7.194,10.1
苍绿,DIC中国传统色,42.834,-9.354,13.264
苍绿,色谱_perchouli,23.841,-12.876,1.597
苍色,中国传统色彩图鉴_鸿洋,52.754,-4.323,-5.09
苍色,中国美色_中国国家地理,52.808,-4.176,-5.816
苍色,古色之美_青简,26.612,-16.525,-14.691
苍色,中国颜色_黄仁达,54.329,-24.42,8.254
藏蓝,中国传统色彩图鉴_鸿洋,26.399,18.959,-33.231
藏蓝,中国美色_中国国家地理,26.199,7.669,-24.222
藏蓝,钧瓷色彩的特征与分类体系研究_王庆斌,55.273898328243,-17.5746554839412,-2.40937274724735
藏蓝,DIC中国传统色,29.85,10.109,-24.922
藏蓝,国标,29.2,-9,-15.8
草黄,中国色名综览_凑幸卫,73.3329278790708,-4.12166695028226,48.9222612952032
草黄,染色样本纳夫妥类_何进丰,63,5,42
草黄,DIC中国传统色,80.76,-11.309,57.557
草黄,色谱_perchouli,73.887,-2.55,67.6
草绿,中国色名综览_凑幸卫,41.1730516553592,-21.5600428937696,16.6847408568854
