color,from,nikename,parent,subparent,l,a,b
酱棕,perchouli,,赤,棕,22.56146378,34.71286697,23.67119302
酱棕,中国色名综览_凑幸卫,,黑,棕,33.56931129,25.98675595,10.61356468
浅棕,国标GB/T 31430-2015,浅棕,赤,棕,56.4,16.1,14.2
浅棕,涤棉色谱_何进丰,浅棕,白,棕,61,6,20
金棕,国标GB/T 31430-2015,棕色 古色、鸿洋：棕,赤,棕,55.4,22,21.1
金棕,中国颜色_黄仁达,棕色 古色、鸿洋：棕,赤,棕,36.08727378,38.50778053,24.52541519
金棕,古色之美_青简,棕色 古色、鸿洋：棕,赤,棕,39.67646664,51.10452868,52.65212812
金棕,中国传统色彩图鉴_鸿洋,棕色 古色、鸿洋：棕,赤,棕,30.58201862,54.08380882,44.18483298
笋皮棕,中国色名综览_凑幸卫,,黑,棕,41.217056,15.47760353,18.28919029
麂棕,perchouli,,黄,棕,64.59324171,45.92720292,69.61988972
麂棕,中国美色_中国国家地理,,赤,棕,66.819042,71.53804748,77.48236411
麂棕,中国色名综览_凑幸卫,,赤,棕,56.6717171,25.00184531,38.78404277
岩石棕,perchouli,,赤,棕,44.02204209,36.47014878,46.14680485
岩石棕,中国色名综览_凑幸卫,,赤,棕,51.54529911,18.38340971,24.62332224
芒果棕,perchouli,,赤,棕,42.13163982,40.94712576,50.31009243
芒果棕,人造丝绸缎色谱_何进丰,,赤,棕,52,21,30
芒果棕,中国色名综览_凑幸卫,,赤,棕,46.50740638,20.30616623,28.32262371
铁棕,perchouli,,赤,棕,58.85750993,58.33890982,68.17950925
铁棕,中国色名综览_凑幸卫,,赤,棕,51.54835686,38.29957659,50.28736903
淡可可棕,perchouli,,赤,棕,51.19369252,48.98245252,57.23090534
淡可可棕,中国色名综览_凑幸卫,,赤,棕,43.81843435,33.2025163,40.1313272
火泥棕,perchouli,,赤,棕,53.83299891,30.55556922,32.69076385
火泥棕,中国色名综览_凑幸卫,,赤,棕,45.93860178,21.28882506,19.7839773
丁香棕,perchouli,,赤,棕,32.01929469,32.35005169,34.44998463
丁香棕,人造丝绸缎色谱_何进丰,,青,棕,57,11,18
丁香棕,中国色名综览_凑幸卫,,黑,棕,44.90177718,9.095395143,6.784151779
筍皮棕,perchouli,,赤,棕,30.95968689,37.64212152,39.96995849
椰壳棕,perchouli,,赤,棕,37.74813309,40.8813489,41.03689674
椰壳棕,中国色名综览_凑幸卫,,赤,棕,41.17798414,27.2238887,28.88037903
淡栗棕,perchouli,,赤,棕,29.54387514,28.95339094,26.21601158
淡栗棕,中国色名综览_凑幸卫,,黑,棕,41.15930542,15.60183133,7.732025933
巧格力棕,中国色名综览_凑幸卫,,黑,棕,32.87557212,14.50002448,6.44645865
可可棕,perchouli,,赤,棕,27.2664364,33.16383458,29.10129394
可可棕,中国色名综览_凑幸卫,,黑,棕,30.76042098,13.34991641,-0.918621209
柞叶棕,perchouli,,赤,棕,28.02656059,35.57630822,30.8338057
柞叶棕,中国色名综览_凑幸卫,,黑,棕,33.60343141,21.12502956,18.32261098
橡树棕,perchouli,,赤,棕,34.93085944,32.12518048,24.24897137
橡树棕,中国色名综览_凑幸卫,,黑,棕,43.92773348,12.81295578,8.49160179
落叶棕,中国色名综览_凑幸卫,,赤,棕,35.1477539,27.13630335,17.8003293
火岩棕,perchouli,,赤,棕,35.78336972,45.25846231,37.44378817
